RA_COD,RA_NOME,CLUSTER,CARGO,PERFIL,PERFIL_DESC,IPE,SCORE_AFINIDADE,SCORE_CONVERSAO,SCORE_MASSA,SCORE_LOGISTICA,SCORE_PDAD,SCORE_REAL
14,São Sebastião,RAs em Movimento,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,4.73,4.61,1.61,2.05,3.57,0.92,6.08
15,Recanto das Emas,RAs Consolidadas,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,5.46,6.2,0.56,2.78,3.38,0.8,8.42
16,Lago Sul,Brasília Central,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,9.74,9.31,9.41,1.37,5.2,10.0,7.9
17,Riacho Fundo,RAs Consolidadas,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,7.17,5.51,7.02,1.07,6.0,3.76,5.83
18,Lago Norte,Brasília Central,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,8.23,9.61,2.5,1.0,7.0,8.16,9.32
19,Candangolândia,RAs Consolidadas,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,7.67,4.85,9.0,0.47,7.61,3.88,4.83
20,Águas Claras,Brasília Central,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,10.0,8.95,10.0,3.41,3.55,9.52,7.65
21,Riacho Fundo II,RAs Consolidadas,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,6.33,5.07,5.34,1.04,5.71,2.79,5.73
22,Sudoeste/Octogonal,Brasília Central,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,9.31,9.31,6.73,1.05,6.85,9.16,8.36
23,Varjão,RAs em Movimento,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,6.69,6.51,0.83,0.14,10.0,1.31,8.58
24,Park Way,Brasília Central,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,1.72,3.28,0.0,0.0,0.0,8.7,0.0
25,SCIA/Estrutural,RAs em Movimento,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,4.33,3.65,0.14,0.65,7.18,0.07,5.17
26,Sobradinho II,RAs Consolidadas,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,6.78,7.64,1.48,0.94,6.67,3.46,9.04
27,Jardim Botânico,Brasília Central,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,8.96,9.17,4.66,0.44,8.75,8.12,8.72
28,Itapoã,RAs em Movimento,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,6.22,6.79,0.71,0.6,7.5,1.45,8.9
29,SIA,Brasília Central,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,1.08,2.07,0.0,0.0,0.0,5.47,0.0
30,Vicente Pires,RAs Consolidadas,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,8.56,6.0,8.59,0.49,8.97,4.78,5.99
31,Fercal,RAs em Movimento,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,0.26,0.5,0.0,0.0,0.0,1.31,0.0
32,Sol Nascente/Pôr do Sol,RAs em Movimento,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Arniqueira,RAs Consolidadas,DEPUTADO_DISTRITAL,progressista,Candidatura progressista / campo popular,0.77,1.48,0.0,0.0,0.0,3.92,0.0
1,Brasília (Plano Piloto),Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,4.99,2.71,1.58,6.4,0.95,0.89,3.65
2,Gama,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,4.73,3.48,1.05,4.13,2.18,0.74,4.9
3,Taguatinga,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,6.16,4.42,1.57,7.35,0.37,1.4,5.98
4,Brazlândia,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,6.01,6.74,1.12,1.19,3.99,2.97,8.65
5,Sobradinho,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.86,4.01,3.88,3.48,2.69,2.62,4.7
6,Planaltina,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,7.31,6.57,3.54,4.45,1.78,4.84,7.39
7,Paranoá,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,7.48,6.54,5.1,1.91,3.97,5.77,6.84
8,Núcleo Bandeirante,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.29,4.7,0.58,1.34,5.71,0.65,6.8
9,Ceilândia,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,8.6,5.25,4.63,10.0,0.0,3.99,5.84
10,Guará,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.71,4.13,3.15,3.62,2.57,2.28,5.06
11,Cruzeiro,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,4.6,3.28,1.3,1.17,5.56,0.86,4.54
12,Samambaia,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,6.47,5.42,2.28,5.28,1.43,2.59,6.85
13,Santa Maria,RAs em Dinamização,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.77,3.25,5.21,2.93,3.11,2.84,3.43
14,São Sebastião,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,7.72,10.0,0.0,2.05,3.57,9.65,10.0
15,Recanto das Emas,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.22,4.45,1.36,2.78,3.38,1.24,6.1
16,Lago Sul,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,3.9,2.87,0.0,1.37,5.2,0.0,4.38
17,Riacho Fundo,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.94,5.2,1.76,1.07,6.0,1.99,6.83
18,Lago Norte,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,4.31,2.42,0.7,1.0,7.0,0.39,3.48
19,Candangolândia,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,6.6,6.65,0.38,0.47,7.61,1.69,9.2
20,Águas Claras,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,4.71,3.6,0.31,3.41,3.55,0.24,5.36
21,Riacho Fundo II,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.64,4.47,2.44,1.04,5.71,2.04,5.71
22,Sudoeste/Octogonal,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.25,2.98,2.7,1.05,6.85,1.54,3.71
23,Varjão,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,9.33,4.8,10.0,0.14,10.0,6.03,4.06
24,Park Way,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,0.0,0.0,0.0,0.0,0.0,0.03,0.0
25,SCIA/Estrutural,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,10.0,8.15,8.35,0.65,7.18,10.0,7.01
26,Sobradinho II,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,5.74,4.39,2.05,0.94,6.67,1.72,5.75
27,Jardim Botânico,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,4.91,3.27,0.0,0.44,8.75,0.0,4.99
28,Itapoã,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,7.73,5.61,5.6,0.6,7.5,4.89,5.9
29,SIA,Brasília Central,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,0.77,1.34,0.0,0.0,0.0,3.8,0.0
30,Vicente Pires,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,6.18,4.4,1.66,0.49,8.97,1.45,5.91
31,Fercal,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,1.57,2.75,0.0,0.0,0.0,7.77,0.0
32,Sol Nascente/Pôr do Sol,RAs em Movimento,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,1.72,3.01,0.0,0.0,0.0,8.51,0.0
33,Arniqueira,RAs Consolidadas,DEPUTADO_DISTRITAL,moderado,Candidatura de centro / institucional,0.24,0.42,0.0,0.0,0.0,1.2,0.0
1,Brasília (Plano Piloto),Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,9.01,8.38,6.78,6.4,0.95,6.96,8.53
2,Gama,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.49,7.92,0.71,4.13,2.18,3.55,9.7
3,Taguatinga,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.76,7.17,4.11,7.35,0.37,3.9,8.41
4,Brazlândia,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.02,6.05,4.25,1.19,3.99,2.56,7.5
5,Sobradinho,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,8.04,6.4,8.91,3.48,2.69,4.46,6.99
6,Planaltina,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,5.92,6.87,0.61,4.45,1.78,1.38,9.33
7,Paranoá,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,5.34,4.62,3.59,1.91,3.97,1.37,6.04
8,Núcleo Bandeirante,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.2,6.6,5.38,1.34,5.71,3.59,7.74
9,Ceilândia,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.49,5.78,2.66,10.0,0.0,1.66,7.59
10,Guará,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.7,7.72,5.4,3.62,2.57,5.29,8.46
11,Cruzeiro,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.92,8.92,0.74,1.17,5.56,6.03,9.82
12,Samambaia,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.64,6.9,2.32,5.28,1.43,2.66,8.68
13,Santa Maria,RAs em Dinamização,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,5.97,7.64,0.0,2.93,3.11,2.22,10.0
14,São Sebastião,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,3.56,3.37,0.0,2.05,3.57,0.0,4.96
15,Recanto das Emas,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.39,5.42,5.23,2.78,3.38,2.37,6.68
16,Lago Sul,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,8.7,10.0,4.94,1.37,5.2,10.0,9.26
17,Riacho Fundo,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.85,6.9,3.71,1.07,6.0,3.34,8.32
18,Lago Norte,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,8.25,9.17,3.54,1.0,7.0,7.67,9.3
19,Candangolândia,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.69,6.28,6.78,0.47,7.61,3.69,7.23
20,Águas Claras,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,9.78,8.69,10.0,3.41,3.55,8.41,8.21
21,Riacho Fundo II,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.02,7.61,0.0,1.04,5.71,2.15,10.0
22,Sudoeste/Octogonal,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.9,8.86,3.03,1.05,6.85,6.77,9.33
23,Varjão,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,6.53,6.71,0.15,0.14,10.0,0.5,9.56
24,Park Way,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,1.67,3.23,0.0,0.0,0.0,8.84,0.0
25,SCIA/Estrutural,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,5.76,6.53,0.02,0.65,7.18,0.07,9.54
26,Sobradinho II,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.57,5.97,7.27,0.94,6.67,3.5,6.87
27,Jardim Botânico,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,10.0,8.56,9.48,0.44,8.75,8.03,8.22
28,Itapoã,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,5.91,5.01,2.93,0.6,7.5,1.32,6.64
29,SIA,Brasília Central,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,0.6,1.16,0.0,0.0,0.0,3.24,0.0
30,Vicente Pires,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,7.63,8.27,1.7,0.49,8.97,4.89,9.48
31,Fercal,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,0.15,0.28,0.0,0.0,0.0,0.86,0.0
32,Sol Nascente/Pôr do Sol,RAs em Movimento,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,0.0,0.0,0.0,0.0,0.0,0.09,0.0
33,Arniqueira,RAs Consolidadas,DEPUTADO_DISTRITAL,liberal_conservador,Candidatura liberal / conservadora,0.84,1.62,0.0,0.0,0.0,4.48,0.0
